user_name,text,created_at,favorite_count
Marie Woodson,"RT @hcicollege: Thank you, Rep. Marie Woodson and the Florida Legislative Black Caucus, for supporting HCI College and accredited private n…",2023-04-29,0
Marie Woodson,"Another one of our bills passed on the House Floor with unanimous support!

#HD105 https://t.co/k6jdWSUgDY",2023-04-27,3
Marie Woodson,"RT @Fla_Pol: House approves bill by @MarieWoodsonFL granting property tax exemptions for spouses of slain, disabled federal agents

Reporti…",2023-04-27,0
Marie Woodson,"This morning, I presented HB101 to ensure that all first responders &amp; their surviving spouses are granted the same… https://t.co/TZQ1EzTq3G",2023-03-10,1
Marie Woodson,Very informative Broward Delegation meeting today! We had the opportunity to hear from many community leaders and a… https://t.co/bcMk2H0QYj,2023-01-14,4
Marie Woodson,"2/2: the Executive Director of FANM, our wonderful Mayor of Miami-Dade County, Daniella Levine Cava, all the other… https://t.co/i13YwvVvLc",2023-01-14,2
Marie Woodson,1/2: Another commemoration of the 2010 earthquake that struck Haiti and claimed so many lives. This event was hoste… https://t.co/02uomhfiC0,2023-01-14,8
Marie Woodson,3/3: Our sincere thanks to Mayor Messam for this remembrance ceremony and the acknowledgment of the Haitians contri… https://t.co/NguYbkNVjq,2023-01-14,1
Marie Woodson,2/3: Our call to action is to come together to restore the security and stability of a country with such a rich his… https://t.co/Fx19uj5RSS,2023-01-14,1
Marie Woodson,1/3: Commemorating the anniversary of the 2010 devastating earthquake that claimed so many lives in Haiti. We can’t… https://t.co/c6jyrs1CH7,2023-01-14,4
Marie Woodson,It was an honor to have been present at the swearing in ceremony of Chief Christopher O’Brien and the 2023 executiv… https://t.co/cIFemglCSW,2023-01-14,1
Marie Woodson,RT @DolphinDems: Thank you @MartyKiar for your energy and dedication to educate Broward County property owners.  It was also wonderful to l…,2023-01-14,0
Marie Woodson,RT @childrenstrust: Trust staff joined community leaders to commemorate the 13th Anniversary of Haiti's Earthquake. This natural disaster k…,2023-01-14,0
Marie Woodson,"Happy New Year to you and your family!!! 

Best wishes for a fun filled year with health and prosperity!! 

#HD105… https://t.co/6UHikKYFJH",2023-01-01,7
Marie Woodson,"Wishing you and your family a happy and blessed Kwanzaa celebration!

#HD105 https://t.co/1TOKpzOsqN",2022-12-27,2
Marie Woodson,"Wishing you and your family a joyous and healthy Christmas!??

#HD105 https://t.co/EjZ3TyR9cH",2022-12-25,4
Marie Woodson,"Earlier today I had the opportunity to meet Ms. Mideline Phelizor, Miss Universe Haiti 2022 in my office. Mideline… https://t.co/5WTzw692pp",2022-12-21,3
Marie Woodson,Supporting the mission of the AMHE organization on its 50th anniversary!! Congratulations to President Dr. Angelo G… https://t.co/TMdOVi48Uo,2022-12-20,5
Marie Woodson,Made it on time to celebrate the holidays with my brothers and sisters of the Broward Haitian-American Democratic C… https://t.co/R3bNP89Owr,2022-12-20,1
Marie Woodson,"Celebrating the holidays with the city of Pembroke Park. Thanks to Mayor Jacobs, Commissioners and staff for bringi… https://t.co/3lkx6gpxgh",2022-12-20,0
Marie Woodson,Please join us in celebrating “Haitian Independence Day” as you get to learn about our history and enjoy delicious… https://t.co/FCnUdz5YCI,2022-12-17,3
Marie Woodson,I am thankful and honored to be appointed by Leader Driskell to serve as a Deputy Whip for the @flhousedems for the… https://t.co/J4gtASIipB,2022-12-11,9
Marie Woodson,RT @FlaDems: Congratulations to our @FLHouseDems Deputy Whips Team! https://t.co/Pyarl6JgRu,2022-12-11,0
Marie Woodson,"RT @RepHunschofsky: Heading to Tallahassee with my colleagues for special session on property insurance. To review the bills, please visit…",2022-12-11,0
Marie Woodson,I am grateful and thankful to Speaker Renner for appointing me to these committees and subcommittees. It is an hono… https://t.co/3X65o1l420,2022-12-09,6
Marie Woodson,"Happy Thanksgiving! 

Wishing you and your family a safe and joyous #ThanksgivingDay! 

#HD105 https://t.co/2h0NZ6lIjf",2022-11-24,14
Marie Woodson,"2/2: effectiveness shown during my first term. Thank you for your continued confidence in me!

#HD105",2022-11-24,1
Marie Woodson,"1/2: Yesterday, I was sworn into office, surrounded by my family, friends, and colleagues. I am so honored and priv… https://t.co/C88bLwWCpP",2022-11-24,25
Marie Woodson,RT @mdcpresident: Congratulations to our MDC Alumni @BryanAvilaFL @AlinaGarcia and @MarieWoodsonFL for officially being sworn into office.…,2022-11-24,0
Marie Woodson,"Bringing this important service to our residents to minimize the long lines at the DMV offices.

Please take advant… https://t.co/iwGcaEZCTe",2022-11-21,2
Marie Woodson,"2/2: She has served our country well.

Thank you, Madam Speaker, for your service.  

#MadamSpeaker",2022-11-17,2
Marie Woodson,1/2: Our country was lucky to have such a fierce and charismatic leader during unprecedented and challenging times.… https://t.co/nO1Fy0hG88,2022-11-17,21
Marie Woodson,"As a State Director for Women in Government, I had the pleasure of moderating a panel and discuss some of the bills… https://t.co/DyHKEwNMvm",2022-11-16,5
Marie Woodson,"Honoring our Veterans throughout our #District105. From West Park to Pembroke Pines, to Hollywood, and ended the ni… https://t.co/GY6yAH9c7n",2022-11-12,7
Marie Woodson,"Today, we thank and honor our veterans. Let’s show our appreciation to them and their families 365 days a year as t… https://t.co/JSeuKPAmc9",2022-11-11,3
Marie Woodson,RT @FIUgov: Congrats to the newly elected members of the FL Legislature! We're especially proud of the @FIU Alumni Panther Caucus! #PAWSUP…,2022-11-10,0
Marie Woodson,"RT @browarddems: Congratulations on your win, @MarieWoodsonFL! https://t.co/4yc0OI5uXj",2022-11-09,0
Marie Woodson,RT @LunionSuite: Congratulations ??,2022-11-09,0
Marie Woodson,RT @nhaeon: Congratulations to our very own Honorable @MarieWoodsonFL https://t.co/InPvYlkJgE,2022-11-09,0
Marie Woodson,RT @kellywoodsonn: yessirrrr,2022-11-09,0
Marie Woodson,"We did it again!!

Thank you, Broward County, for your support. It is honor to serve you again in the Florida Legis… https://t.co/9eBCeONOnn",2022-11-09,35
Marie Woodson,?? https://t.co/cP2bD1UuZs,2022-11-09,1
Marie Woodson,RT @FLRising: Florida Rising congratulates @MarieWoodsonFL for re-election in FL House District 105! Rep. Woodson will continue to fight fo…,2022-11-09,0
Marie Woodson,RT @FLHouseVictory: Congratulations to Marie Woodson (@MarieWoodsonFL) on winning reelection to the Florida House of Representatives for Di…,2022-11-09,0
Marie Woodson,RT @RuthsListFL: Congratulations to @mariewoodsonfl on your reelection victory in Broward County tonight! https://t.co/odOwAiAl8r,2022-11-09,0
Marie Woodson,"RT @FLHouseDems: Congratulations, Representative @MarieWoodsonFL! We’re excited to welcome you back to the Florida House.

#FlaPol #FLHouse…",2022-11-09,0
Marie Woodson,RT @lgbtqdems: Let’s Go ?@MarieWoodsonFL?!! https://t.co/wzxHPu7Zs2,2022-11-08,0
Marie Woodson,RT @lgbtqdems: .?@MarieWoodsonFL? bringing down the house at the ?@valdemings? ?@CharlieCrist? Election Eve rally!!! #voteblue https://t.co…,2022-11-08,0
Marie Woodson,RT @1199SEIUFlorida: Marie Woodson helped pass a bill to aid homeless youth and she will work to protect and uplift working families. That'…,2022-11-07,0
Marie Woodson,"RT @MarleineBastien: Tomorrow is #ElectionDay, your final opportunity to cast your vote!

Exercise your right to vote and make your voice h…",2022-11-07,0
Marie Woodson,"??Endorsement Alert ??

Very honored and thankful to receive the prestigious endorsement of the Sun Sentinel again!… https://t.co/l63oI2JBbI",2022-10-31,4
Marie Woodson,I had the opportunity to meet with the First Lady Jill Biden in Broward County in support of… https://t.co/He74ZTex6w,2022-10-31,6
Marie Woodson,"RT @browarddems: Help us GET OUT THE VOTE ?? in House District 105 for Rep @MarieWoodsonFL!!  Make calls ?? to help turn out voters!!  
#GOTV…",2022-10-24,0
Marie Woodson,RT @browarddems: ?? @MarieWoodsonFL is awesome!,2022-10-24,0
Marie Woodson,RT @lamafava: We officially kicked off Miramar Haitian-American Res. &amp; Business Owners #MHARBO @ Haitian Community Resources Gathering. Tha…,2022-10-11,0
Marie Woodson,"RT @ShevrinJones: Headed to Harlem heights with Rep(s). @MarieWoodsonFL, @Robin_Bartleman, @MilesDavisFL, @Gantt4Florida and @CityofMiaGard…",2022-10-11,0
Marie Woodson,https://t.co/6J4MPd84gD,2022-10-10,0
