,user_name,text,created_at,favorite_count,text_clean,tokenized_text,stopwords_text,text_string,text_string_lemm
0,Marie Woodson,"RT @hcicollege: Thank you, Rep. Marie Woodson and the Florida Legislative Black Caucus, for supporting HCI College and accredited private n…",2023-04-29,0,thank you rep marie woodson and the florida legislative black caucus for supporting hci college and accredited private n,"['thank', 'you', 'rep', 'marie', 'woodson', 'and', 'the', 'florida', 'legislative', 'black', 'caucus', 'for', 'supporting', 'hci', 'college', 'and', 'accredited', 'private', 'n']","['thank', 'rep', 'marie', 'woodson', 'florida', 'legislative', 'black', 'caucus', 'supporting', 'hci', 'college', 'accredited', 'private', 'n']",thank rep marie woodson florida legislative black caucus supporting hci college accredited private,thank rep marie woodson florida legislative black caucus supporting hci college accredited private
1,Marie Woodson,"Another one of our bills passed on the House Floor with unanimous support!

#HD105 https://t.co/k6jdWSUgDY",2023-04-27,3,another one of our bills passed on the house floor with unanimous supporthd ,"['another', 'one', 'of', 'our', 'bills', 'passed', 'on', 'the', 'house', 'floor', 'with', 'unanimous', 'supporthd']","['another', 'one', 'bills', 'passed', 'house', 'floor', 'unanimous', 'supporthd']",another one bills passed house floor unanimous supporthd,another one bills passed house floor unanimous supporthd
2,Marie Woodson,"RT @Fla_Pol: House approves bill by @MarieWoodsonFL granting property tax exemptions for spouses of slain, disabled federal agents

Reporti…",2023-04-27,0,house approves bill by  granting property tax exemptions for spouses of slain disabled federal agentsreporti,"['house', 'approves', 'bill', 'by', 'granting', 'property', 'tax', 'exemptions', 'for', 'spouses', 'of', 'slain', 'disabled', 'federal', 'agentsreporti']","['house', 'approves', 'bill', 'granting', 'property', 'tax', 'exemptions', 'spouses', 'slain', 'disabled', 'federal', 'agentsreporti']",house approves bill granting property tax exemptions spouses slain disabled federal agentsreporti,house approves bill granting property tax exemptions spouses slain disabled federal agentsreporti
3,Marie Woodson,"This morning, I presented HB101 to ensure that all first responders &amp; their surviving spouses are granted the same… https://t.co/TZQ1EzTq3G",2023-03-10,1,this morning i presented hb to ensure that all first responders amp their surviving spouses are granted the same ,"['this', 'morning', 'i', 'presented', 'hb', 'to', 'ensure', 'that', 'all', 'first', 'responders', 'amp', 'their', 'surviving', 'spouses', 'are', 'granted', 'the', 'same']","['morning', 'presented', 'hb', 'ensure', 'first', 'responders', 'amp', 'surviving', 'spouses', 'granted']",morning presented ensure first responders amp surviving spouses granted,morning presented ensure first responders amp surviving spouses granted
4,Marie Woodson,Very informative Broward Delegation meeting today! We had the opportunity to hear from many community leaders and a… https://t.co/bcMk2H0QYj,2023-01-14,4,very informative broward delegation meeting today we had the opportunity to hear from many community leaders and a ,"['very', 'informative', 'broward', 'delegation', 'meeting', 'today', 'we', 'had', 'the', 'opportunity', 'to', 'hear', 'from', 'many', 'community', 'leaders', 'and', 'a']","['informative', 'broward', 'delegation', 'meeting', 'today', 'opportunity', 'hear', 'many', 'community', 'leaders']",informative broward delegation meeting today opportunity hear many community leaders,informative broward delegation meeting today opportunity hear many community leaders
5,Marie Woodson,"2/2: the Executive Director of FANM, our wonderful Mayor of Miami-Dade County, Daniella Levine Cava, all the other… https://t.co/i13YwvVvLc",2023-01-14,2, the executive director of fanm our wonderful mayor of miamidade county daniella levine cava all the other ,"['the', 'executive', 'director', 'of', 'fanm', 'our', 'wonderful', 'mayor', 'of', 'miamidade', 'county', 'daniella', 'levine', 'cava', 'all', 'the', 'other']","['executive', 'director', 'fanm', 'wonderful', 'mayor', 'miamidade', 'county', 'daniella', 'levine', 'cava']",executive director fanm wonderful mayor miamidade county daniella levine cava,executive director fanm wonderful mayor miamidade county daniella levine cava
6,Marie Woodson,1/2: Another commemoration of the 2010 earthquake that struck Haiti and claimed so many lives. This event was hoste… https://t.co/02uomhfiC0,2023-01-14,8, another commemoration of the  earthquake that struck haiti and claimed so many lives this event was hoste ,"['another', 'commemoration', 'of', 'the', 'earthquake', 'that', 'struck', 'haiti', 'and', 'claimed', 'so', 'many', 'lives', 'this', 'event', 'was', 'hoste']","['another', 'commemoration', 'earthquake', 'struck', 'haiti', 'claimed', 'many', 'lives', 'event', 'hoste']",another commemoration earthquake struck haiti claimed many lives event hoste,another commemoration earthquake struck haiti claimed many lives event hoste
7,Marie Woodson,3/3: Our sincere thanks to Mayor Messam for this remembrance ceremony and the acknowledgment of the Haitians contri… https://t.co/NguYbkNVjq,2023-01-14,1, our sincere thanks to mayor messam for this remembrance ceremony and the acknowledgment of the haitians contri ,"['our', 'sincere', 'thanks', 'to', 'mayor', 'messam', 'for', 'this', 'remembrance', 'ceremony', 'and', 'the', 'acknowledgment', 'of', 'the', 'haitians', 'contri']","['sincere', 'thanks', 'mayor', 'messam', 'remembrance', 'ceremony', 'acknowledgment', 'haitians', 'contri']",sincere thanks mayor messam remembrance ceremony acknowledgment haitians contri,sincere thanks mayor messam remembrance ceremony acknowledgment haitians contri
8,Marie Woodson,2/3: Our call to action is to come together to restore the security and stability of a country with such a rich his… https://t.co/Fx19uj5RSS,2023-01-14,1, our call to action is to come together to restore the security and stability of a country with such a rich his ,"['our', 'call', 'to', 'action', 'is', 'to', 'come', 'together', 'to', 'restore', 'the', 'security', 'and', 'stability', 'of', 'a', 'country', 'with', 'such', 'a', 'rich', 'his']","['call', 'action', 'come', 'together', 'restore', 'security', 'stability', 'country', 'rich']",call action come together restore security stability country rich,call action come together restore security stability country rich
9,Marie Woodson,1/3: Commemorating the anniversary of the 2010 devastating earthquake that claimed so many lives in Haiti. We can’t… https://t.co/c6jyrs1CH7,2023-01-14,4, commemorating the anniversary of the  devastating earthquake that claimed so many lives in haiti we can’t ,"['commemorating', 'the', 'anniversary', 'of', 'the', 'devastating', 'earthquake', 'that', 'claimed', 'so', 'many', 'lives', 'in', 'haiti', 'we', 'can', '’', 't']","['commemorating', 'anniversary', 'devastating', 'earthquake', 'claimed', 'many', 'lives', 'haiti', '’']",commemorating anniversary devastating earthquake claimed many lives haiti,commemorating anniversary devastating earthquake claimed many lives haiti
10,Marie Woodson,It was an honor to have been present at the swearing in ceremony of Chief Christopher O’Brien and the 2023 executiv… https://t.co/cIFemglCSW,2023-01-14,1,it was an honor to have been present at the swearing in ceremony of chief christopher o’brien and the  executiv ,"['it', 'was', 'an', 'honor', 'to', 'have', 'been', 'present', 'at', 'the', 'swearing', 'in', 'ceremony', 'of', 'chief', 'christopher', 'o', '’', 'brien', 'and', 'the', 'executiv']","['honor', 'present', 'swearing', 'ceremony', 'chief', 'christopher', '’', 'brien', 'executiv']",honor present swearing ceremony chief christopher brien executiv,honor present swearing ceremony chief christopher brien executiv
11,Marie Woodson,RT @DolphinDems: Thank you @MartyKiar for your energy and dedication to educate Broward County property owners.  It was also wonderful to l…,2023-01-14,0,thank you  for your energy and dedication to educate broward county property owners  it was also wonderful to l,"['thank', 'you', 'for', 'your', 'energy', 'and', 'dedication', 'to', 'educate', 'broward', 'county', 'property', 'owners', 'it', 'was', 'also', 'wonderful', 'to', 'l']","['thank', 'energy', 'dedication', 'educate', 'broward', 'county', 'property', 'owners', 'also', 'wonderful', 'l']",thank energy dedication educate broward county property owners also wonderful,thank energy dedication educate broward county property owners also wonderful
12,Marie Woodson,RT @childrenstrust: Trust staff joined community leaders to commemorate the 13th Anniversary of Haiti's Earthquake. This natural disaster k…,2023-01-14,0,trust staff joined community leaders to commemorate the th anniversary of haitis earthquake this natural disaster k,"['trust', 'staff', 'joined', 'community', 'leaders', 'to', 'commemorate', 'the', 'th', 'anniversary', 'of', 'haitis', 'earthquake', 'this', 'natural', 'disaster', 'k']","['trust', 'staff', 'joined', 'community', 'leaders', 'commemorate', 'th', 'anniversary', 'haitis', 'earthquake', 'natural', 'disaster', 'k']",trust staff joined community leaders commemorate anniversary haitis earthquake natural disaster,trust staff joined community leaders commemorate anniversary haitis earthquake natural disaster
13,Marie Woodson,"Happy New Year to you and your family!!! 

Best wishes for a fun filled year with health and prosperity!! 

#HD105… https://t.co/6UHikKYFJH",2023-01-01,7,happy new year to you and your family best wishes for a fun filled year with health and prosperity hd ,"['happy', 'new', 'year', 'to', 'you', 'and', 'your', 'family', 'best', 'wishes', 'for', 'a', 'fun', 'filled', 'year', 'with', 'health', 'and', 'prosperity', 'hd']","['happy', 'new', 'year', 'family', 'best', 'wishes', 'fun', 'filled', 'year', 'health', 'prosperity', 'hd']",happy new year family best wishes fun filled year health prosperity,happy new year family best wishes fun filled year health prosperity
14,Marie Woodson,"Wishing you and your family a happy and blessed Kwanzaa celebration!

#HD105 https://t.co/1TOKpzOsqN",2022-12-27,2,wishing you and your family a happy and blessed kwanzaa celebrationhd ,"['wishing', 'you', 'and', 'your', 'family', 'a', 'happy', 'and', 'blessed', 'kwanzaa', 'celebrationhd']","['wishing', 'family', 'happy', 'blessed', 'kwanzaa', 'celebrationhd']",wishing family happy blessed kwanzaa celebrationhd,wishing family happy blessed kwanzaa celebrationhd
15,Marie Woodson,"Wishing you and your family a joyous and healthy Christmas!??

#HD105 https://t.co/EjZ3TyR9cH",2022-12-25,4,wishing you and your family a joyous and healthy christmashd ,"['wishing', 'you', 'and', 'your', 'family', 'a', 'joyous', 'and', 'healthy', 'christmashd']","['wishing', 'family', 'joyous', 'healthy', 'christmashd']",wishing family joyous healthy christmashd,wishing family joyous healthy christmashd
16,Marie Woodson,"Earlier today I had the opportunity to meet Ms. Mideline Phelizor, Miss Universe Haiti 2022 in my office. Mideline… https://t.co/5WTzw692pp",2022-12-21,3,earlier today i had the opportunity to meet ms mideline phelizor miss universe haiti  in my office mideline ,"['earlier', 'today', 'i', 'had', 'the', 'opportunity', 'to', 'meet', 'ms', 'mideline', 'phelizor', 'miss', 'universe', 'haiti', 'in', 'my', 'office', 'mideline']","['earlier', 'today', 'opportunity', 'meet', 'ms', 'mideline', 'phelizor', 'miss', 'universe', 'haiti', 'office', 'mideline']",earlier today opportunity meet mideline phelizor miss universe haiti office mideline,earlier today opportunity meet mideline phelizor miss universe haiti office mideline
17,Marie Woodson,Supporting the mission of the AMHE organization on its 50th anniversary!! Congratulations to President Dr. Angelo G… https://t.co/TMdOVi48Uo,2022-12-20,5,supporting the mission of the amhe organization on its th anniversary congratulations to president dr angelo g ,"['supporting', 'the', 'mission', 'of', 'the', 'amhe', 'organization', 'on', 'its', 'th', 'anniversary', 'congratulations', 'to', 'president', 'dr', 'angelo', 'g']","['supporting', 'mission', 'amhe', 'organization', 'th', 'anniversary', 'congratulations', 'president', 'dr', 'angelo', 'g']",supporting mission amhe organization anniversary congratulations president angelo,supporting mission amhe organization anniversary congratulations president angelo
18,Marie Woodson,Made it on time to celebrate the holidays with my brothers and sisters of the Broward Haitian-American Democratic C… https://t.co/R3bNP89Owr,2022-12-20,1,made it on time to celebrate the holidays with my brothers and sisters of the broward haitianamerican democratic c ,"['made', 'it', 'on', 'time', 'to', 'celebrate', 'the', 'holidays', 'with', 'my', 'brothers', 'and', 'sisters', 'of', 'the', 'broward', 'haitianamerican', 'democratic', 'c']","['made', 'time', 'celebrate', 'holidays', 'brothers', 'sisters', 'broward', 'haitianamerican', 'democratic', 'c']",made time celebrate holidays brothers sisters broward haitianamerican democratic,made time celebrate holidays brothers sisters broward haitianamerican democratic
19,Marie Woodson,"Celebrating the holidays with the city of Pembroke Park. Thanks to Mayor Jacobs, Commissioners and staff for bringi… https://t.co/3lkx6gpxgh",2022-12-20,0,celebrating the holidays with the city of pembroke park thanks to mayor jacobs commissioners and staff for bringi ,"['celebrating', 'the', 'holidays', 'with', 'the', 'city', 'of', 'pembroke', 'park', 'thanks', 'to', 'mayor', 'jacobs', 'commissioners', 'and', 'staff', 'for', 'bringi']","['celebrating', 'holidays', 'city', 'pembroke', 'park', 'thanks', 'mayor', 'jacobs', 'commissioners', 'staff', 'bringi']",celebrating holidays city pembroke park thanks mayor jacobs commissioners staff bringi,celebrating holidays city pembroke park thanks mayor jacobs commissioners staff bringi
20,Marie Woodson,Please join us in celebrating “Haitian Independence Day” as you get to learn about our history and enjoy delicious… https://t.co/FCnUdz5YCI,2022-12-17,3,please join us in celebrating “haitian independence day” as you get to learn about our history and enjoy delicious ,"['please', 'join', 'us', 'in', 'celebrating', '“', 'haitian', 'independence', 'day', '”', 'as', 'you', 'get', 'to', 'learn', 'about', 'our', 'history', 'and', 'enjoy', 'delicious']","['please', 'join', 'us', 'celebrating', '“', 'haitian', 'independence', 'day', '”', 'get', 'learn', 'history', 'enjoy', 'delicious']",please join celebrating haitian independence day get learn history enjoy delicious,please join celebrating haitian independence day get learn history enjoy delicious
21,Marie Woodson,I am thankful and honored to be appointed by Leader Driskell to serve as a Deputy Whip for the @flhousedems for the… https://t.co/J4gtASIipB,2022-12-11,9,i am thankful and honored to be appointed by leader driskell to serve as a deputy whip for the  for the ,"['i', 'am', 'thankful', 'and', 'honored', 'to', 'be', 'appointed', 'by', 'leader', 'driskell', 'to', 'serve', 'as', 'a', 'deputy', 'whip', 'for', 'the', 'for', 'the']","['thankful', 'honored', 'appointed', 'leader', 'driskell', 'serve', 'deputy', 'whip']",thankful honored appointed leader driskell serve deputy whip,thankful honored appointed leader driskell serve deputy whip
22,Marie Woodson,RT @FlaDems: Congratulations to our @FLHouseDems Deputy Whips Team! https://t.co/Pyarl6JgRu,2022-12-11,0,congratulations to our  deputy whips team ,"['congratulations', 'to', 'our', 'deputy', 'whips', 'team']","['congratulations', 'deputy', 'whips', 'team']",congratulations deputy whips team,congratulations deputy whips team
23,Marie Woodson,"RT @RepHunschofsky: Heading to Tallahassee with my colleagues for special session on property insurance. To review the bills, please visit…",2022-12-11,0,heading to tallahassee with my colleagues for special session on property insurance to review the bills please visit,"['heading', 'to', 'tallahassee', 'with', 'my', 'colleagues', 'for', 'special', 'session', 'on', 'property', 'insurance', 'to', 'review', 'the', 'bills', 'please', 'visit']","['heading', 'tallahassee', 'colleagues', 'special', 'session', 'property', 'insurance', 'review', 'bills', 'please', 'visit']",heading tallahassee colleagues special session property insurance review bills please visit,heading tallahassee colleagues special session property insurance review bills please visit
24,Marie Woodson,I am grateful and thankful to Speaker Renner for appointing me to these committees and subcommittees. It is an hono… https://t.co/3X65o1l420,2022-12-09,6,i am grateful and thankful to speaker renner for appointing me to these committees and subcommittees it is an hono ,"['i', 'am', 'grateful', 'and', 'thankful', 'to', 'speaker', 'renner', 'for', 'appointing', 'me', 'to', 'these', 'committees', 'and', 'subcommittees', 'it', 'is', 'an', 'hono']","['grateful', 'thankful', 'speaker', 'renner', 'appointing', 'committees', 'subcommittees', 'hono']",grateful thankful speaker renner appointing committees subcommittees hono,grateful thankful speaker renner appointing committees subcommittees hono
25,Marie Woodson,"Happy Thanksgiving! 

Wishing you and your family a safe and joyous #ThanksgivingDay! 

#HD105 https://t.co/2h0NZ6lIjf",2022-11-24,14,happy thanksgiving wishing you and your family a safe and joyous thanksgivingday hd ,"['happy', 'thanksgiving', 'wishing', 'you', 'and', 'your', 'family', 'a', 'safe', 'and', 'joyous', 'thanksgivingday', 'hd']","['happy', 'thanksgiving', 'wishing', 'family', 'safe', 'joyous', 'thanksgivingday', 'hd']",happy thanksgiving wishing family safe joyous thanksgivingday,happy thanksgiving wishing family safe joyous thanksgivingday
26,Marie Woodson,"2/2: effectiveness shown during my first term. Thank you for your continued confidence in me!

#HD105",2022-11-24,1, effectiveness shown during my first term thank you for your continued confidence in mehd,"['effectiveness', 'shown', 'during', 'my', 'first', 'term', 'thank', 'you', 'for', 'your', 'continued', 'confidence', 'in', 'mehd']","['effectiveness', 'shown', 'first', 'term', 'thank', 'continued', 'confidence', 'mehd']",effectiveness shown first term thank continued confidence mehd,effectiveness shown first term thank continued confidence mehd
27,Marie Woodson,"1/2: Yesterday, I was sworn into office, surrounded by my family, friends, and colleagues. I am so honored and priv… https://t.co/C88bLwWCpP",2022-11-24,25, yesterday i was sworn into office surrounded by my family friends and colleagues i am so honored and priv ,"['yesterday', 'i', 'was', 'sworn', 'into', 'office', 'surrounded', 'by', 'my', 'family', 'friends', 'and', 'colleagues', 'i', 'am', 'so', 'honored', 'and', 'priv']","['yesterday', 'sworn', 'office', 'surrounded', 'family', 'friends', 'colleagues', 'honored', 'priv']",yesterday sworn office surrounded family friends colleagues honored priv,yesterday sworn office surrounded family friends colleagues honored priv
28,Marie Woodson,RT @mdcpresident: Congratulations to our MDC Alumni @BryanAvilaFL @AlinaGarcia and @MarieWoodsonFL for officially being sworn into office.…,2022-11-24,0,congratulations to our mdc alumni   and  for officially being sworn into office,"['congratulations', 'to', 'our', 'mdc', 'alumni', 'and', 'for', 'officially', 'being', 'sworn', 'into', 'office']","['congratulations', 'mdc', 'alumni', 'officially', 'sworn', 'office']",congratulations mdc alumni officially sworn office,congratulations mdc alumni officially sworn office
29,Marie Woodson,"Bringing this important service to our residents to minimize the long lines at the DMV offices.

Please take advant… https://t.co/iwGcaEZCTe",2022-11-21,2,bringing this important service to our residents to minimize the long lines at the dmv officesplease take advant ,"['bringing', 'this', 'important', 'service', 'to', 'our', 'residents', 'to', 'minimize', 'the', 'long', 'lines', 'at', 'the', 'dmv', 'officesplease', 'take', 'advant']","['bringing', 'important', 'service', 'residents', 'minimize', 'long', 'lines', 'dmv', 'officesplease', 'take', 'advant']",bringing important service residents minimize long lines dmv officesplease take advant,bringing important service residents minimize long lines dmv officesplease take advant
30,Marie Woodson,"2/2: She has served our country well.

Thank you, Madam Speaker, for your service.  

#MadamSpeaker",2022-11-17,2, she has served our country wellthank you madam speaker for your service  madamspeaker,"['she', 'has', 'served', 'our', 'country', 'wellthank', 'you', 'madam', 'speaker', 'for', 'your', 'service', 'madamspeaker']","['served', 'country', 'wellthank', 'madam', 'speaker', 'service', 'madamspeaker']",served country wellthank madam speaker service madamspeaker,served country wellthank madam speaker service madamspeaker
31,Marie Woodson,1/2: Our country was lucky to have such a fierce and charismatic leader during unprecedented and challenging times.… https://t.co/nO1Fy0hG88,2022-11-17,21, our country was lucky to have such a fierce and charismatic leader during unprecedented and challenging times ,"['our', 'country', 'was', 'lucky', 'to', 'have', 'such', 'a', 'fierce', 'and', 'charismatic', 'leader', 'during', 'unprecedented', 'and', 'challenging', 'times']","['country', 'lucky', 'fierce', 'charismatic', 'leader', 'unprecedented', 'challenging', 'times']",country lucky fierce charismatic leader unprecedented challenging times,country lucky fierce charismatic leader unprecedented challenging times
32,Marie Woodson,"As a State Director for Women in Government, I had the pleasure of moderating a panel and discuss some of the bills… https://t.co/DyHKEwNMvm",2022-11-16,5,as a state director for women in government i had the pleasure of moderating a panel and discuss some of the bills ,"['as', 'a', 'state', 'director', 'for', 'women', 'in', 'government', 'i', 'had', 'the', 'pleasure', 'of', 'moderating', 'a', 'panel', 'and', 'discuss', 'some', 'of', 'the', 'bills']","['state', 'director', 'women', 'government', 'pleasure', 'moderating', 'panel', 'discuss', 'bills']",state director women government pleasure moderating panel discuss bills,state director women government pleasure moderating panel discuss bills
33,Marie Woodson,"Honoring our Veterans throughout our #District105. From West Park to Pembroke Pines, to Hollywood, and ended the ni… https://t.co/GY6yAH9c7n",2022-11-12,7,honoring our veterans throughout our district from west park to pembroke pines to hollywood and ended the ni ,"['honoring', 'our', 'veterans', 'throughout', 'our', 'district', 'from', 'west', 'park', 'to', 'pembroke', 'pines', 'to', 'hollywood', 'and', 'ended', 'the', 'ni']","['honoring', 'veterans', 'throughout', 'district', 'west', 'park', 'pembroke', 'pines', 'hollywood', 'ended', 'ni']",honoring veterans throughout district west park pembroke pines hollywood ended,honoring veterans throughout district west park pembroke pines hollywood ended
